hour,totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints,convertedStoragePoints_cfx
2023-09-15 17:00:00+00:00,3759623125.555511,5422123135.6596775,405724173.4517859,3255284.3125,145353982.17377254,2023-09-15T17:33:56+00:00,3255284.3125,639662592.0,226218496.0,624670.5
2023-09-15 18:00:00+00:00,3759635772.791558,5422135782.895724,405700173.4517859,3255656.9375,145343424.20835847,2023-09-15T18:33:55+00:00,3255656.9375,639667712.0,226221184.0,624675.5
2023-09-15 19:00:00+00:00,3759648351.763895,5422148361.868062,405701173.4517859,3256033.25,145310622.33125556,2023-09-15T19:33:55+00:00,3256033.25,639667712.0,226220544.0,624675.5
2023-09-15 20:00:00+00:00,3759658140.133833,5422158150.237999,405703173.4517859,3256408.9375,145312580.87463978,2023-09-15T20:33:55+00:00,3256408.9375,639667712.0,226220544.0,624675.5
2023-09-15 21:00:00+00:00,3759670860.523855,5422170870.628021,405704173.4517859,3256783.9375,145313440.37789026,2023-09-15T21:33:55+00:00,3256783.9375,639667712.0,226220736.0,624675.5
2023-09-15 22:00:00+00:00,3759683285.450901,5422183295.555068,405704173.4517859,3257159.5,145329230.84983,2023-09-15T22:33:56+00:00,3257159.5,639667712.0,226220736.0,624675.5
2023-09-15 23:00:00+00:00,3759695935.4196806,5422195945.523848,405707173.4517859,3257535.0625,145328856.0573083,2023-09-15T23:33:56+00:00,3257535.0625,639667712.0,226222144.0,624675.5
2023-09-16 00:00:00+00:00,3759708377.123379,5422208387.227546,405709173.4517859,3257912.5,145349861.09697515,2023-09-16T00:33:56+00:00,3257912.5,639667712.0,226222336.0,624675.5
2023-09-16 01:00:00+00:00,3759720921.930723,5422220932.03489,405723173.4517859,3258284.4375,145129653.19351488,2023-09-16T01:33:56+00:00,3258284.4375,639667712.0,226222208.0,624675.5
2023-09-16 02:00:00+00:00,3759733540.111943,5422233550.216109,405723173.4517859,3258661.0,145131152.06041855,2023-09-16T02:34:26+00:00,3258661.0,639729152.0,226223040.0,624735.5
2023-09-16 03:00:00+00:00,3759746035.150831,5422246045.254997,405726173.4517859,3259039.1875,145131201.11412898,2023-09-16T03:33:56+00:00,3259039.1875,639729152.0,226222528.0,624735.5
2023-09-16 04:00:00+00:00,3759752701.8673663,5422252711.971533,405735173.4517859,3254276.5,145125247.06808984,2023-09-16T04:33:57+00:00,3254276.5,645669888.0,231488256.0,630537.0
2023-09-16 05:00:00+00:00,3759762563.723417,5422262573.827584,405737173.4517859,3254677.625,145119369.99409023,2023-09-16T05:33:58+00:00,3254677.625,645695488.0,231488320.0,630562.0
2023-09-16 06:00:00+00:00,3759774769.164949,5422274779.269116,405738547.0402194,3255064.25,145111883.80428752,2023-09-16T06:33:56+00:00,3255064.25,645746688.0,231488832.0,630612.0
2023-09-16 07:00:00+00:00,3759787220.273292,5422287230.377459,405742547.0402194,3255452.75,145125922.4658664,2023-09-16T07:33:56+00:00,3255452.75,645746688.0,231493056.0,630612.0
2023-09-16 08:00:00+00:00,3759799967.381542,5422299977.485709,405745547.0402194,3255834.25,145082990.49336848,2023-09-16T08:33:56+00:00,3255834.25,645746688.0,231492928.0,630612.0
2023-09-16 09:00:00+00:00,3759812277.2269263,5422312287.331093,405746547.0402194,3256217.1875,145093295.96730465,2023-09-16T09:33:56+00:00,3256217.1875,645797888.0,231493440.0,630662.0
2023-09-16 10:00:00+00:00,3759799274.5669904,5422299284.671157,405745547.0402194,3256596.5,145095244.7464157,2023-09-16T10:33:56+00:00,3256596.5,671986688.0,231494848.0,656237.0
2023-09-16 11:00:00+00:00,3759786628.450575,5422286638.554742,405745547.0402194,3256975.5625,145031992.46606317,2023-09-16T11:33:56+00:00,3256975.5625,697904128.0,231495232.0,681547.0
2023-09-16 12:00:00+00:00,3759795616.663184,5422295626.76735,405747547.0402194,3257358.5625,145047769.45923695,2023-09-16T12:33:55+00:00,3257358.5625,701488128.0,231495616.0,685047.0
2023-09-16 13:00:00+00:00,3759808210.5895233,5422308220.693689,405767547.0402194,3257739.6875,145024464.19206432,2023-09-16T13:33:56+00:00,3257739.6875,701488128.0,231495872.0,685047.0
2023-09-16 14:00:00+00:00,3759818167.514172,5422318177.618339,405769547.0402194,3258117.5,145027577.5390619,2023-09-16T14:33:56+00:00,3258117.5,701488128.0,231496512.0,685047.0
2023-09-16 15:00:00+00:00,3759830832.3956847,5422330842.499851,405778547.0402194,3258493.4375,145000931.64052662,2023-09-16T15:33:56+00:00,3258493.4375,701488128.0,231496192.0,685047.0
2023-09-16 16:00:00+00:00,3759843344.266833,5422343354.370999,405779547.0402194,3258882.0625,144976429.06589913,2023-09-16T16:33:55+00:00,3258882.0625,701488128.0,231496064.0,685047.0
2023-09-16 17:00:00+00:00,3759855792.440904,5422355802.545071,405779547.0402194,3259258.25,144967970.5560276,2023-09-16T17:33:55+00:00,3259258.25,701488128.0,231496064.0,685047.0
2023-09-16 18:00:00+00:00,3759868271.783017,5422368281.887184,405782547.0402194,3259630.75,144968209.35265797,2023-09-16T18:33:55+00:00,3259637.0,701488128.0,231494592.0,685047.0
2023-09-16 19:00:00+00:00,3759880924.135968,5422380934.240134,405786547.0402194,3260013.75,144943387.86981595,2023-09-16T19:33:56+00:00,3260013.75,701488128.0,231492224.0,685047.0
2023-09-16 20:00:00+00:00,3759893589.570094,5422393599.674261,405787547.0402194,3260389.625,144962364.5855314,2023-09-16T20:33:56+00:00,3260389.625,701488128.0,231492160.0,685047.0
2023-09-16 21:00:00+00:00,3759906217.559329,5422406227.663495,405788547.0402194,3260764.625,144965419.83371782,2023-09-16T21:33:56+00:00,3260764.625,701488128.0,231492608.0,685047.0
2023-09-16 22:00:00+00:00,3759918515.266281,5422418525.370448,405789547.0402194,3261139.9375,145019089.69816592,2023-09-16T22:33:55+00:00,3261139.9375,701488128.0,231492608.0,685047.0
2023-09-16 23:00:00+00:00,3759931370.829426,5422431380.933593,405790552.9647316,3261515.125,145013161.7672683,2023-09-16T23:33:56+00:00,3261515.125,701488128.0,231493888.0,685047.0
